    0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20
    -------------------------------------------------------------
20| 5  5  5  4  4  3  2  1  1  1  0  1  1  1  1  1  1  1  1  1  0
19| 5  5  5  4  3  3  2  1  1  1  0  -1 1  1  1  1  1  1  1  1  0
18| 5  5  5  4  3  2  2  1  1  1  0  -1 1  1  1  1  1  1  1  1  0
17| 5  5  5  4  3  2  1  1  1  1  0  -1 1  1  1  1  1  1  1  1  0
16| 5  5  4  4  3  2  1  1  1  1  0  -1 1  1  1  1  1  1  1  1  0
15| 5  5  5  5  5  5  1  1  1  1  0  -1 1  1  1  1  1  1  1  1  0
14| 5  5  4  4  4  4  4  1  1  1  0  -1 1  1  1  1  1  1  1  1  0
13| 5  4  4  3  3  3  3  3  1  1  0  -1 3  3  3  3  3  3  1  1  0
12| 5  4  3  3  2  2  2  2  2  1  0  2  2  2  2  2  2  2  2  2  0
11| 4  4  3  2  2  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
10| 4  3  3  2  1  1  1  1  1  1  0  1  0  0  0  0  0  0  0  0  0
9 | 3  3  2  2  1  1  1  1  1  1  0  -1 0  0  0  0  0  0  0  0  0
8 | 3  2  2  1  1  1  1  1  1  1  0  -1 0  0  0  0  0  0  0  0  0
7 | 2  2  1  1  1  1  1  1  1  0  0  -1 -2 0  0  0  0  0  0  0  0
6 | 2  1  1  1  1  1  1  1  0  0  0  -1 -2 0  0  0  0  0  0  0  0
5 | 1  1  1  1  1  1  0  0  0  0  0  -1 -2 -3 0  0  0  0  0  0  -1
4 | 1  1  1  1  1  0  0  0  0  0  0  -1 -2 -3 -4 -1 -1 -1 -1 -1 -1
3 | 1  1  1  1  0  0  0  0  0  0  0  -1 -2 -3 -4 -5 -2 -2 -2 -2 -2
2 | 1  1  0  0  0  0  0  0  0  -1 -1 -1 -2 -3 -4 -5 -3 -3 -3 -3 -3
1 | 1  0  0  0  0  0  0  0  -1 -1 -2 -2 -2 -3 -4 -5 -3 -4 -4 -4 -4
0 | 0  0  0  0  0  0  0  -1 -1 -2 -2 -3 -3 -3 -4 -5 -4 -4 -5 -5 -5

    0     1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20
    -------------------------------------------------------------------------------------------------------------------------
20| 559.6 565.5 570.5 574.8 579.0 582.9 586.6 590.0 593.1 595.7 596.6 595.4 596.6 597.7 598.7 599.6 600.5 601.4 602.2 602.8 603.1 
19| 556.5 562.6 567.8 572.5 576.8 581.0 584.9 588.6 591.9 594.6 595.7 594.6 595.8 597.0 598.0 599.0 600.0 600.9 601.8 602.5 602.8 
18| 553.0 559.3 564.8 569.8 574.5 578.8 583.0 586.9 590.3 593.2 594.6 593.7 594.8 596.0 597.2 598.3 599.4 600.4 601.3 602.1 602.5 
17| 549.0 555.6 561.4 566.8 571.8 576.5 580.8 585.0 588.5 591.5 593.2 592.6 593.6 595.0 596.3 597.6 598.8 599.9 600.9 601.7 602.1 
16| 544.5 551.4 557.6 563.4 568.8 573.8 578.5 582.8 586.5 589.7 591.5 591.2 592.3 593.9 595.3 596.7 598.1 599.3 600.4 601.3 601.7 
15| 543.6 550.7 557.2 562.9 568.1 572.6 575.8 580.4 584.3 587.7 589.7 589.5 590.8 592.6 594.3 595.9 597.4 598.7 599.9 600.9 601.3 
14| 538.3 545.7 552.7 559.2 564.9 570.1 574.6 577.6 581.8 585.4 587.7 587.7 589.3 591.3 593.2 594.9 596.6 598.1 599.4 600.5 600.9 
13| 532.7 540.3 547.7 554.7 561.2 566.9 572.1 576.6 579.0 582.9 585.4 585.7 588.1 590.4 592.6 594.6 596.4 597.9 598.7 599.9 600.5 
12| 526.6 534.7 542.3 549.7 556.7 563.2 568.9 574.1 578.6 580.0 582.9 584.9 587.6 590.1 592.4 594.6 596.6 598.4 599.9 599.9 599.9 
11| 520.3 528.6 536.7 544.3 551.7 558.7 565.2 570.9 576.1 580.6 580.5 583.9 586.9 589.6 592.1 594.4 596.6 598.6 600.4 601.9 601.9 
10| 513.6 522.3 530.6 538.7 546.3 553.7 560.3 566.4 571.8 576.7 580.6 580.7 583.9 586.9 589.6 592.1 594.4 596.6 598.6 600.4 601.9 
9 | 506.7 515.6 524.3 532.6 540.7 548.2 555.1 561.4 567.1 572.2 576.7 578.6 580.7 583.9 586.8 589.5 592.0 594.4 596.6 598.5 600.2 
8 | 499.5 508.7 517.6 526.3 534.6 542.2 549.3 555.8 561.8 567.2 572.2 574.7 576.8 580.3 583.5 586.4 589.1 591.6 594.0 596.1 597.9 
7 | 492.0 501.5 510.7 519.6 528.0 535.8 543.1 549.8 556.0 561.8 567.2 570.2 572.7 576.2 579.6 582.7 585.6 588.3 590.8 593.1 595.1 
6 | 484.3 494.0 503.5 512.5 521.0 528.9 536.3 543.2 549.8 556.0 561.7 565.2 568.2 571.4 575.1 578.4 581.5 584.4 587.1 589.5 591.6 
5 | 476.4 486.3 495.8 504.8 513.4 521.4 528.9 536.3 543.2 549.6 555.5 559.7 563.2 566.2 570.0 573.5 576.8 579.8 582.6 585.2 587.5 
4 | 468.1 477.9 487.4 496.5 505.1 513.4 521.4 528.9 535.9 542.5 548.6 553.5 557.7 561.2 564.2 568.0 571.5 574.8 577.8 580.6 583.2 
